Date,Site_Code,Site_Name,Region,Visitors,Avg_Spend_per_Head_GBP,Weather
2025-01-17,S002,Nova Manchester Arndale,Manchester,3022,16.96,Dry
2025-01-17,S003,Nova Birmingham Bullring,Birmingham,3314,12.15,Dry
2025-01-17,S004,Nova Bristol Cabot,Bristol,2136,15.33,Dry
2025-01-17,S005,Nova Edinburgh Princes,Edinburgh,2694,19.35,Dry
2025-01-18,S001,Nova London Bridge,London,5421,17.11,Dry
2025-01-18,S002,Nova Manchester Arndale,Manchester,3830,18.98,Dry
2025-01-18,S003,Nova Birmingham Bullring,Birmingham,3195,17.15,Rain
2025-01-18,S004,Nova Bristol Cabot,Bristol,2592,19.12,Dry
2025-01-18,S005,Nova Edinburgh Princes,Edinburgh,3461,14.06,Sunny
2025-01-19,S001,Nova London Bridge,London,4288,16.3,Cold
2025-01-19,S002,Nova Manchester Arndale,Manchester,3289,13.7,Dry
2025-01-19,S003,Nova Birmingham Bullring,Birmingham,2937,17.68,Rain
2025-01-19,S004,Nova Bristol Cabot,Bristol,2278,16.67,Dry
2025-01-19,S005,Nova Edinburgh Princes,Edinburgh,2968,12.69,Dry
2025-01-20,S001,Nova London Bridge,London,3014,17.86,Dry
2025-01-20,S002,Nova Manchester Arndale,Manchester,2174,11.34,Cold
2025-01-20,S003,Nova Birmingham Bullring,Birmingham,2207,16.05,Cold
2025-01-20,S004,Nova Bristol Cabot,Bristol,1666,14.32,Dry
2025-01-20,S005,Nova Edinburgh Princes,Edinburgh,1862,13.5,Dry
2025-01-21,S001,Nova London Bridge,London,2598,12.43,Rain
2025-01-21,S002,Nova Manchester Arndale,Manchester,2234,17.81,Dry
2025-01-21,S003,Nova Birmingham Bullring,Birmingham,2610,13.88,Dry
2025-01-21,S004,Nova Bristol Cabot,Bristol,1244,17.44,Rain
2025-01-21,S005,Nova Edinburgh Princes,Edinburgh,1865,11.51,Cold
2025-01-22,S001,Nova London Bridge,London,2839,13.11,Cold
2025-01-22,S002,Nova Manchester Arndale,Manchester,2768,11.7,Sunny
2025-01-22,S003,Nova Birmingham Bullring,Birmingham,2486,15.62,Dry
2025-01-22,S004,Nova Bristol Cabot,Bristol,1739,15.81,Dry
2025-01-22,S005,Nova Edinburgh Princes,Edinburgh,2074,16.97,Dry
2025-01-23,S001,Nova London Bridge,London,3219,15.89,Cold
2025-01-23,S002,Nova Manchester Arndale,Manchester,2521,11.56,Dry
2025-01-23,S003,Nova Birmingham Bullring,Birmingham,2831,16.11,Dry
2025-01-23,S004,Nova Bristol Cabot,Bristol,1769,11.45,Dry
2025-01-23,S005,Nova Edinburgh Princes,Edinburgh,2019,17.84,Dry
2025-01-24,S001,Nova London Bridge,London,3508,13.56,Rain
2025-01-24,S002,Nova Manchester Arndale,Manchester,2542,11.75,Rain
2025-01-24,S003,Nova Birmingham Bullring,Birmingham,3224,17.29,Dry
2025-01-24,S004,Nova Bristol Cabot,Bristol,2035,15.57,Cold
2025-01-24,S005,Nova Edinburgh Princes,Edinburgh,2576,14.15,Cold
2025-01-25,S001,Nova London Bridge,London,5525,18.08,Dry
2025-01-25,S002,Nova Manchester Arndale,Manchester,3667,17.91,Dry
2025-01-25,S003,Nova Birmingham Bullring,Birmingham,4175,14.56,Dry
2025-01-25,S004,Nova Bristol Cabot,Bristol,2348,13.89,Cold
2025-01-25,S005,Nova Edinburgh Princes,Edinburgh,3739,13.78,Sunny
2025-01-26,S001,Nova London Bridge,London,3618,13.7,Rain
2025-01-26,S002,Nova Manchester Arndale,Manchester,4008,15.74,Sunny
2025-01-26,S003,Nova Birmingham Bullring,Birmingham,3707,14.35,Dry
2025-01-26,S004,Nova Bristol Cabot,Bristol,2536,19.14,Dry
2025-01-26,S005,Nova Edinburgh Princes,Edinburgh,2525,16.81,Cold
2025-01-27,S001,Nova London Bridge,London,2980,14.41,Dry
2025-01-27,S002,Nova Manchester Arndale,Manchester,2182,17.19,Dry
2025-01-27,S003,Nova Birmingham Bullring,Birmingham,2104,15.38,Rain
2025-01-27,S004,Nova Bristol Cabot,Bristol,1853,18.28,Sunny
2025-01-27,S005,Nova Edinburgh Princes,Edinburgh,1714,15.65,Cold
2025-01-28,S001,Nova London Bridge,London,2985,13.24,Dry
2025-01-28,S002,Nova Manchester Arndale,Manchester,2380,11.37,Sunny
2025-01-28,S003,Nova Birmingham Bullring,Birmingham,2432,13.49,Dry
2025-01-28,S004,Nova Bristol Cabot,Bristol,1778,13.98,Sunny
2025-01-28,S005,Nova Edinburgh Princes,Edinburgh,1941,12.51,Dry
2025-01-29,S001,Nova London Bridge,London,3350,17.41,Dry
2025-01-29,S002,Nova Manchester Arndale,Manchester,2083,16.46,Rain
2025-01-29,S003,Nova Birmingham Bullring,Birmingham,2714,17.55,Dry
2025-01-29,S004,Nova Bristol Cabot,Bristol,1535,13.04,Cold
2025-01-29,S005,Nova Edinburgh Princes,Edinburgh,1841,17.79,Cold
2025-01-30,S001,Nova London Bridge,London,2945,14.38,Rain
2025-01-30,S002,Nova Manchester Arndale,Manchester,2737,16.17,Sunny
2025-01-30,S003,Nova Birmingham Bullring,Birmingham,2587,15.86,Cold
2025-01-30,S004,Nova Bristol Cabot,Bristol,1510,17.17,Cold
2025-01-30,S005,Nova Edinburgh Princes,Edinburgh,2154,17.74,Dry
2025-01-31,S001,Nova London Bridge,London,3826,13.68,Cold
2025-01-31,S002,Nova Manchester Arndale,Manchester,3315,12.03,Dry
2025-01-31,S003,Nova Birmingham Bullring,Birmingham,3742,13.59,Dry
2025-01-31,S004,Nova Bristol Cabot,Bristol,2619,13.92,Sunny
2025-01-31,S005,Nova Edinburgh Princes,Edinburgh,2662,17.08,Dry
2025-02-01,S001,Nova London Bridge,London,5700,19.09,Sunny
2025-02-01,S002,Nova Manchester Arndale,Manchester,3418,17.16,Dry
2025-02-01,S003,Nova Birmingham Bullring,Birmingham,4293,18.17,Dry
2025-02-01,S004,Nova Bristol Cabot,Bristol,2776,12.85,Sunny
2025-02-01,S005,Nova Edinburgh Princes,Edinburgh,3074,12.43,Dry
2025-02-02,S001,Nova London Bridge,London,4445,15.33,Dry
2025-02-02,S002,Nova Manchester Arndale,Manchester,3455,18.55,Sunny
2025-02-02,S003,Nova Birmingham Bullring,Birmingham,3154,12.79,Rain
2025-02-02,S004,Nova Bristol Cabot,Bristol,2236,18.89,Dry
2025-02-02,S005,Nova Edinburgh Princes,Edinburgh,2653,15.7,Dry
2025-02-03,S001,Nova London Bridge,London,2722,11.15,Dry
2025-02-03,S002,Nova Manchester Arndale,Manchester,2062,11.57,Dry
2025-02-03,S003,Nova Birmingham Bullring,Birmingham,2224,14.19,Dry
2025-02-03,S004,Nova Bristol Cabot,Bristol,1777,14.18,Sunny
2025-02-03,S005,Nova Edinburgh Princes,Edinburgh,1862,13.98,Dry
2025-02-04,S001,Nova London Bridge,London,2938,15.33,Dry
2025-02-04,S002,Nova Manchester Arndale,Manchester,2153,17.92,Dry
2025-02-04,S003,Nova Birmingham Bullring,Birmingham,2262,14.77,Cold
2025-02-04,S004,Nova Bristol Cabot,Bristol,1402,18.3,Cold
2025-02-04,S005,Nova Edinburgh Princes,Edinburgh,1703,14.71,Dry
2025-02-05,S001,Nova London Bridge,London,3292,15.14,Dry
2025-02-05,S002,Nova Manchester Arndale,Manchester,2466,14.42,Dry
2025-02-05,S003,Nova Birmingham Bullring,Birmingham,2486,15.78,Dry
2025-02-05,S004,Nova Bristol Cabot,Bristol,1641,14.45,Dry
2025-02-05,S005,Nova Edinburgh Princes,Edinburgh,1562,13.78,Rain
2025-02-06,S001,Nova London Bridge,London,3229,18.47,Cold
2025-02-06,S002,Nova Manchester Arndale,Manchester,2243,18.48,Dry
2025-02-06,S003,Nova Birmingham Bullring,Birmingham,2516,16.69,Dry
2025-02-06,S004,Nova Bristol Cabot,Bristol,1561,12.88,Cold
2025-02-06,S005,Nova Edinburgh Princes,Edinburgh,2011,14.59,Cold
2025-02-07,S001,Nova London Bridge,London,4818,19.14,Sunny
2025-02-07,S002,Nova Manchester Arndale,Manchester,2959,19.36,Dry
2025-02-07,S003,Nova Birmingham Bullring,Birmingham,4016,15.94,Sunny
2025-02-07,S004,Nova Bristol Cabot,Bristol,2107,15.05,Dry
2025-02-07,S005,Nova Edinburgh Princes,Edinburgh,2749,15.1,Dry
2025-02-08,S001,Nova London Bridge,London,4066,16.69,Rain
2025-02-08,S002,Nova Manchester Arndale,Manchester,4198,18.06,Sunny
2025-02-08,S003,Nova Birmingham Bullring,Birmingham,3101,18.23,Rain
2025-02-08,S004,Nova Bristol Cabot,Bristol,2834,13.47,Sunny
2025-02-08,S005,Nova Edinburgh Princes,Edinburgh,2798,13.88,Cold
2025-02-09,S001,Nova London Bridge,London,4826,18.29,Dry
2025-02-09,S002,Nova Manchester Arndale,Manchester,3550,17.02,Sunny
2025-02-09,S003,Nova Birmingham Bullring,Birmingham,3754,12.93,Dry
2025-02-09,S004,Nova Bristol Cabot,Bristol,2169,12.81,Dry
2025-02-09,S005,Nova Edinburgh Princes,Edinburgh,3202,15.1,Sunny
2025-02-10,S001,Nova London Bridge,London,2972,13.19,Dry
2025-02-10,S002,Nova Manchester Arndale,Manchester,2197,17.37,Dry
2025-02-10,S003,Nova Birmingham Bullring,Birmingham,2467,14.53,Dry
2025-02-10,S004,Nova Bristol Cabot,Bristol,1456,14.6,Cold
2025-02-10,S005,Nova Edinburgh Princes,Edinburgh,1821,16.44,Dry
2025-02-11,S001,Nova London Bridge,London,2785,11.31,Dry
2025-02-11,S002,Nova Manchester Arndale,Manchester,2536,12.62,Sunny
2025-02-11,S003,Nova Birmingham Bullring,Birmingham,2327,17.86,Dry
2025-02-11,S004,Nova Bristol Cabot,Bristol,1387,14.53,Cold
2025-02-11,S005,Nova Edinburgh Princes,Edinburgh,1866,18.37,Dry
2025-02-12,S001,Nova London Bridge,London,2851,12.76,Cold
2025-02-12,S002,Nova Manchester Arndale,Manchester,2409,18.37,Dry
2025-02-12,S003,Nova Birmingham Bullring,Birmingham,2432,15.35,Dry
2025-02-12,S004,Nova Bristol Cabot,Bristol,1681,14.03,Sunny
2025-02-12,S005,Nova Edinburgh Princes,Edinburgh,2235,16.88,Sunny
2025-02-13,S001,Nova London Bridge,London,3817,15.23,Sunny
2025-02-13,S002,Nova Manchester Arndale,Manchester,2367,16.32,Dry
2025-02-13,S003,Nova Birmingham Bullring,Birmingham,2046,18.44,Rain
2025-02-13,S004,Nova Bristol Cabot,Bristol,1605,17.48,Cold
2025-02-13,S005,Nova Edinburgh Princes,Edinburgh,1892,17.22,Dry
2025-02-14,S001,Nova London Bridge,London,3657,13.22,Cold
2025-02-14,S002,Nova Manchester Arndale,Manchester,3114,11.94,Dry
2025-02-14,S003,Nova Birmingham Bullring,Birmingham,3336,18.63,Dry
2025-02-14,S004,Nova Bristol Cabot,Bristol,1797,13.18,Rain
2025-02-14,S005,Nova Edinburgh Princes,Edinburgh,2711,12.29,Dry
2025-02-15,S001,Nova London Bridge,London,5338,12.74,Sunny
2025-02-15,S002,Nova Manchester Arndale,Manchester,3689,16.18,Dry
2025-02-15,S003,Nova Birmingham Bullring,Birmingham,4104,18.12,Dry
2025-02-15,S004,Nova Bristol Cabot,Bristol,2100,11.57,Rain
2025-02-15,S005,Nova Edinburgh Princes,Edinburgh,3230,19.24,Dry
2025-02-16,S001,Nova London Bridge,London,4792,15.41,Dry
2025-02-16,S002,Nova Manchester Arndale,Manchester,3270,19.33,Dry
2025-02-16,S003,Nova Birmingham Bullring,Birmingham,3032,14.61,Rain
2025-02-16,S004,Nova Bristol Cabot,Bristol,1842,13.99,Rain
2025-02-16,S005,Nova Edinburgh Princes,Edinburgh,2871,18.36,Sunny
2025-02-17,S001,Nova London Bridge,London,3153,13.03,Dry
2025-02-17,S002,Nova Manchester Arndale,Manchester,1993,17.03,Dry
2025-02-17,S003,Nova Birmingham Bullring,Birmingham,2225,17.52,Dry
2025-02-17,S004,Nova Bristol Cabot,Bristol,1504,14.12,Cold
2025-02-17,S005,Nova Edinburgh Princes,Edinburgh,2027,12.47,Sunny
2025-02-18,S001,Nova London Bridge,London,2547,11.9,Rain
2025-02-18,S002,Nova Manchester Arndale,Manchester,2329,13.49,Sunny
2025-02-18,S003,Nova Birmingham Bullring,Birmingham,2428,15.67,Dry
2025-02-18,S004,Nova Bristol Cabot,Bristol,1596,14.55,Dry
2025-02-18,S005,Nova Edinburgh Princes,Edinburgh,1698,13.84,Dry
2025-02-19,S001,Nova London Bridge,London,3685,16.99,Sunny
2025-02-19,S002,Nova Manchester Arndale,Manchester,1985,12.76,Rain
2025-02-19,S003,Nova Birmingham Bullring,Birmingham,2304,14.12,Cold
2025-02-19,S004,Nova Bristol Cabot,Bristol,1838,11.14,Sunny
2025-02-19,S005,Nova Edinburgh Princes,Edinburgh,1878,15.3,Dry
2025-02-20,S001,Nova London Bridge,London,3116,13.98,Dry
2025-02-20,S002,Nova Manchester Arndale,Manchester,2916,17.67,Sunny
2025-02-20,S003,Nova Birmingham Bullring,Birmingham,2928,14.9,Sunny
2025-02-20,S004,Nova Bristol Cabot,Bristol,1311,17.7,Rain
2025-02-20,S005,Nova Edinburgh Princes,Edinburgh,1933,16.56,Dry
2025-02-21,S001,Nova London Bridge,London,3326,13.21,Rain
2025-02-21,S002,Nova Manchester Arndale,Manchester,2865,19.29,Cold
2025-02-21,S003,Nova Birmingham Bullring,Birmingham,3556,15.43,Dry
2025-02-21,S004,Nova Bristol Cabot,Bristol,1633,16.14,Rain
2025-02-21,S005,Nova Edinburgh Princes,Edinburgh,1969,13.1,Rain
2025-02-22,S001,Nova London Bridge,London,4690,19.22,Cold
2025-02-22,S002,Nova Manchester Arndale,Manchester,2887,17.81,Rain
2025-02-22,S003,Nova Birmingham Bullring,Birmingham,3998,12.91,Dry
2025-02-22,S004,Nova Bristol Cabot,Bristol,2820,15.96,Dry
2025-02-22,S005,Nova Edinburgh Princes,Edinburgh,3121,19.16,Dry
2025-02-23,S001,Nova London Bridge,London,4505,18.36,Dry
2025-02-23,S002,Nova Manchester Arndale,Manchester,3355,11.89,Dry
2025-02-23,S003,Nova Birmingham Bullring,Birmingham,3654,17.07,Dry
2025-02-23,S004,Nova Bristol Cabot,Bristol,2525,12.32,Dry
2025-02-23,S005,Nova Edinburgh Princes,Edinburgh,2874,12.83,Dry
2025-02-24,S001,Nova London Bridge,London,2841,17.69,Cold
2025-02-24,S002,Nova Manchester Arndale,Manchester,2143,16.95,Dry
2025-02-24,S003,Nova Birmingham Bullring,Birmingham,2564,11.6,Sunny
2025-02-24,S004,Nova Bristol Cabot,Bristol,1460,12.49,Dry
2025-02-24,S005,Nova Edinburgh Princes,Edinburgh,1367,14.85,Rain
2025-02-25,S001,Nova London Bridge,London,2727,13.97,Dry
2025-02-25,S002,Nova Manchester Arndale,Manchester,2159,16.15,Dry
2025-02-25,S003,Nova Birmingham Bullring,Birmingham,2437,13.7,Dry
2025-02-25,S004,Nova Bristol Cabot,Bristol,1258,17.24,Rain
2025-02-25,S005,Nova Edinburgh Princes,Edinburgh,1913,13.84,Dry
2025-02-26,S001,Nova London Bridge,London,3217,16.21,Sunny
2025-02-26,S002,Nova Manchester Arndale,Manchester,2024,15.42,Cold
2025-02-26,S003,Nova Birmingham Bullring,Birmingham,2153,16.08,Rain
2025-02-26,S004,Nova Bristol Cabot,Bristol,1750,13.45,Dry
2025-02-26,S005,Nova Edinburgh Princes,Edinburgh,2162,15.76,Sunny
2025-02-27,S001,Nova London Bridge,London,3424,15.57,Dry
2025-02-27,S002,Nova Manchester Arndale,Manchester,2432,12.44,Dry
2025-02-27,S003,Nova Birmingham Bullring,Birmingham,2155,12.55,Rain
2025-02-27,S004,Nova Bristol Cabot,Bristol,1304,18.25,Rain
2025-02-27,S005,Nova Edinburgh Princes,Edinburgh,1996,15.82,Dry
2025-02-28,S001,Nova London Bridge,London,4036,17.0,Dry
2025-02-28,S002,Nova Manchester Arndale,Manchester,3060,19.01,Dry
2025-02-28,S003,Nova Birmingham Bullring,Birmingham,2606,19.23,Rain
2025-02-28,S004,Nova Bristol Cabot,Bristol,2112,16.7,Dry
2025-02-28,S005,Nova Edinburgh Princes,Edinburgh,2642,12.0,Sunny
2025-03-01,S001,Nova London Bridge,London,4207,17.14,Rain
2025-03-01,S002,Nova Manchester Arndale,Manchester,3770,18.47,Dry
2025-03-01,S003,Nova Birmingham Bullring,Birmingham,3910,15.6,Rain
2025-03-01,S004,Nova Bristol Cabot,Bristol,2975,12.41,Dry
2025-03-01,S005,Nova Edinburgh Princes,Edinburgh,4083,12.61,Sunny
2025-03-02,S001,Nova London Bridge,London,4340,18.84,Cold
2025-03-02,S002,Nova Manchester Arndale,Manchester,3081,13.79,Rain
2025-03-02,S003,Nova Birmingham Bullring,Birmingham,3862,18.51,Dry
2025-03-02,S004,Nova Bristol Cabot,Bristol,2526,14.1,Dry
2025-03-02,S005,Nova Edinburgh Princes,Edinburgh,2836,13.67,Dry
2025-03-03,S001,Nova London Bridge,London,3692,16.37,Sunny
2025-03-03,S002,Nova Manchester Arndale,Manchester,2460,15.23,Dry
2025-03-03,S003,Nova Birmingham Bullring,Birmingham,2418,17.3,Dry
2025-03-03,S004,Nova Bristol Cabot,Bristol,1726,11.91,Dry
2025-03-03,S005,Nova Edinburgh Princes,Edinburgh,1567,14.72,Rain
2025-03-04,S001,Nova London Bridge,London,3012,17.64,Dry
2025-03-04,S002,Nova Manchester Arndale,Manchester,2549,12.18,Dry
2025-03-04,S003,Nova Birmingham Bullring,Birmingham,2408,14.05,Dry
2025-03-04,S004,Nova Bristol Cabot,Bristol,1752,17.99,Dry
2025-03-04,S005,Nova Edinburgh Princes,Edinburgh,1854,11.93,Dry
2025-03-05,S001,Nova London Bridge,London,3354,16.36,Dry
2025-03-05,S002,Nova Manchester Arndale,Manchester,2157,16.27,Cold
2025-03-05,S003,Nova Birmingham Bullring,Birmingham,2534,11.48,Dry
2025-03-05,S004,Nova Bristol Cabot,Bristol,1701,16.22,Dry
2025-03-05,S005,Nova Edinburgh Princes,Edinburgh,1714,17.19,Rain
2025-03-06,S001,Nova London Bridge,London,3515,18.4,Dry
2025-03-06,S002,Nova Manchester Arndale,Manchester,2822,12.4,Dry
2025-03-06,S003,Nova Birmingham Bullring,Birmingham,2975,18.38,Dry
2025-03-06,S004,Nova Bristol Cabot,Bristol,1731,11.75,Cold
2025-03-06,S005,Nova Edinburgh Princes,Edinburgh,1973,17.68,Cold
2025-03-07,S001,Nova London Bridge,London,4176,17.46,Cold
2025-03-07,S002,Nova Manchester Arndale,Manchester,3130,11.99,Cold
2025-03-07,S003,Nova Birmingham Bullring,Birmingham,4120,19.39,Sunny
2025-03-07,S004,Nova Bristol Cabot,Bristol,2481,11.66,Dry
2025-03-07,S005,Nova Edinburgh Princes,Edinburgh,2748,16.39,Dry
2025-03-08,S001,Nova London Bridge,London,6364,13.68,Sunny
2025-03-08,S002,Nova Manchester Arndale,Manchester,3766,15.83,Dry
2025-03-08,S003,Nova Birmingham Bullring,Birmingham,4317,15.06,Dry
2025-03-08,S004,Nova Bristol Cabot,Bristol,2441,15.5,Cold
2025-03-08,S005,Nova Edinburgh Princes,Edinburgh,3015,18.83,Cold
2025-03-09,S001,Nova London Bridge,London,5796,14.48,Sunny
2025-03-09,S002,Nova Manchester Arndale,Manchester,3191,14.3,Rain
2025-03-09,S003,Nova Birmingham Bullring,Birmingham,4213,15.56,Dry
2025-03-09,S004,Nova Bristol Cabot,Bristol,2728,14.49,Dry
2025-03-09,S005,Nova Edinburgh Princes,Edinburgh,3067,16.22,Dry
2025-03-10,S001,Nova London Bridge,London,3362,12.26,Dry
2025-03-10,S002,Nova Manchester Arndale,Manchester,2275,13.38,Dry
2025-03-10,S003,Nova Birmingham Bullring,Birmingham,2127,11.96,Rain
2025-03-10,S004,Nova Bristol Cabot,Bristol,1619,14.93,Dry
2025-03-10,S005,Nova Edinburgh Princes,Edinburgh,2288,15.25,Sunny
2025-03-11,S001,Nova London Bridge,London,2492,17.68,Rain
2025-03-11,S002,Nova Manchester Arndale,Manchester,2425,14.44,Dry
2025-03-11,S003,Nova Birmingham Bullring,Birmingham,2321,11.8,Cold
2025-03-11,S004,Nova Bristol Cabot,Bristol,1741,12.09,Dry
2025-03-11,S005,Nova Edinburgh Princes,Edinburgh,1936,14.68,Dry
2025-03-12,S001,Nova London Bridge,London,3667,12.83,Dry
2025-03-12,S002,Nova Manchester Arndale,Manchester,2479,17.48,Cold
2025-03-12,S003,Nova Birmingham Bullring,Birmingham,2212,11.45,Rain
2025-03-12,S004,Nova Bristol Cabot,Bristol,1376,17.37,Rain
2025-03-12,S005,Nova Edinburgh Princes,Edinburgh,1787,11.85,Cold
2025-03-13,S001,Nova London Bridge,London,2908,17.25,Rain
2025-03-13,S002,Nova Manchester Arndale,Manchester,2353,14.49,Cold
2025-03-13,S003,Nova Birmingham Bullring,Birmingham,2989,16.08,Dry
2025-03-13,S004,Nova Bristol Cabot,Bristol,2063,15.98,Sunny
2025-03-13,S005,Nova Edinburgh Princes,Edinburgh,2308,17.69,Dry
2025-03-14,S001,Nova London Bridge,London,4693,16.75,Sunny
2025-03-14,S002,Nova Manchester Arndale,Manchester,3476,15.99,Dry
2025-03-14,S003,Nova Birmingham Bullring,Birmingham,3927,15.28,Dry
2025-03-14,S004,Nova Bristol Cabot,Bristol,2553,18.93,Dry
2025-03-14,S005,Nova Edinburgh Princes,Edinburgh,2741,16.84,Dry
2025-03-15,S001,Nova London Bridge,London,5726,12.16,Dry
