Txn_ID,Txn_Date,Period,Account_Code,Description,Site_Code,Department,Amount_GBP
100416,2025-01-03,FY25-01,6200,Utilities - Electricity,S005,,-700.05
102405,2025-05-21,FY25-05,4040,Events & Hire Revenue,S004,FOOD_BEV,1236.43
105774,2025-11-07,FY25-11,5000,Cost of Goods Sold - F&B,S005,RETAIL,-5285.08
102760,2025-05-06,FY25-05,7000,Depreciation,S003,,-858.35
101323,2025-03-17,FY25-03,5010,Cost of Goods Sold - Retail,S001,ENTERTAINMENT,-4134.66
102748,2025-05-06,FY25-05,7000,Depreciation,S001,,-1061.79
106100,2025-11-30,FY25-11,6500,IT & Software Licences,S005,,-1241.46
102244,2025-05-02,FY25-05,4000,Food & Beverage Revenue,S003,RETAIL,14169.9
106601,2025-12-11,FY25-12,9000,Business Rates,S003,,-1525.38
106535,2025-12-12,FY25-12,6010,Employer NI & Pension,S004,,-802.52
101712,2025-04-14,FY25-04,4010,Retail Merchandise Revenue,S003,RETAIL,13606.61
106276,2025-12-07,FY25-12,4020,Entertainment Revenue,S005,FOOD_BEV,8502.15
100288,2025-01-10,FY25-01,6010,Employer NI & Pension,S005,,-1094.13
103555,2025-07-27,FY25-07,4040,EVENTS & HIRE REVENUE,S004,MEMBERSHIP,2400.94
104537,2025-09-13,FY25-09,4030,Membership Revenue,S002,ENTERTAINMENT,2893.72
100042,2025-01-06,FY25-01,4010,Retail Merchandise Revenue,S002,MEMBERSHIP,2216.04
106631,2025-12-07,FY25-12,6200,Utilities - Electricity,S001,,-959.31
104759,2025-09-10,FY25-09,6100,Property Rent  ,S003,,-4330.79
103554,2025-07-19,FY25-07,4040, Events & Hire Revenue,S004,EVENTS,2400.94
102889,2025-06-28,FY25-06,4020,Entertainment Revenue,S003,,6624.45
101784,2025-04-27,FY25-04,4030,MEMBERSHIP REVENUE,S004,,2917.26
103328,2025-06-01,FY25-06,7000,Depreciation  ,S004,,-1086.03
105626,2025-11-29,FY25-11,4010,Retail Merchandise Revenue,S003,MEMBERSHIP,4698.81
100641,2025-02-24,FY25-02,4030,Membership Revenue,S003,ENTERTAINMENT,2611.89
105474,2025-10-18,FY25-10,6300,Marketing & Promotions,S001,,-1283.65
102058,2025-04-03,FY25-04,6110,Business Rates,S005,,-1850.21
105479,2025-10-25,FY25-10,6300,Marketing & Promotions,S002,,-1067.21
102166,2025-04-14,FY25-04,6500,IT & Software Licences,S005,,-849.52
100024,2025-01-08,FY25-01,4000,Food & Beverage Revenue,S004,MEMBERSHIP,6958.59
105522,2025-10-15,FY25-10,6500,IT & Software Licences,S002,,-979.49
102336,2025-05-19,FY25-05,4020,Entertainment Revenue,S005,ENTERTAINMENT,18145.98
103567,2025-07-03,FY25-07,5000,Cost of Goods Sold - F&B,S001,ENTERTAINMENT,-12178.56
102983,2025-06-11,FY25-06,4040,Events & Hire Revenue,S004,EVENTS,1889.65
102243,2025-05-16,FY25-05,4000,Food & Beverage Revenue,S003,EVENTS,14169.9
102127,2025-04-01,FY25-04,6300,Marketing & Promotions,S002,,-749.31
105211,2025-10-16,FY25-10,5010,Cost of Goods Sold - Retail,S002,EVENTS,-3520.87
105265,2025-10-30,FY25-10,6000,Wages & Salaries,S002,,-6637.84
105365,2025-10-19,FY25-10,6100,Property Rent,S003,,-2564.88
101997,2025-04-30,FY25-04,6100,Property Rent,S001,,-12652.09
101918,2025-04-30,FY25-04,5010,Cost of Goods Sold - Retail,S005,EVENTS,-3927.79
102729,2025-05-26,FY25-05,6600,Insurance,S003,,-1006.58
100384,2025-01-30,FY25-01,6200,Utilities - Electricity  ,S001,,-1044.44
105220,2025-10-13,FY25-10,5010,Cost of Goods Sold - Retail,S003,RETAIL,-3303.4
101415,2025-03-31,FY25-03,6010,EMPLOYER NI & PENSION,S002,,-1112.14
102410,2025-05-21,FY25-05,4040,Events & Hire Revenue,S004,RETAIL,1236.43
103772,2025-07-23,FY25-07,6110,Business Rates,S005,,-959.11
100588,2025-02-10,FY25-02,4010,Retail Merchandise Revenue,S005,MEMBERSHIP,3029.36
102010,2025-04-04,FY25-04,6100,Property Rent,S004,,-5432.88
106046,2025-11-24,FY25-11,6300,Marketing & Promotions,S001,,-1465.54
105680,2025-11-19,FY25-11,4030,Membership Revenue,S003,MEMBERSHIP,2746.35
104503,2025-09-23,FY25-09,4020,Entertainment Revenue,S002,EVENTS,7531.22
100445,2025-01-26,FY25-01,6400,Repairs & Maintenance  ,S003,,-1235.77
103143,2025-06-23,FY25-06,6100,Property Rent,S005,,-2296.86
104389,2025-08-31,FY25-08,6600,Insurance,S002,,-1829.31
102167,2025-04-16,FY25-04,6500,IT & Software Licences,S005,,-849.52
106340,2025-12-08,FY25-12,4040,Events & Hire Revenue,S002,MEMBERSHIP,2357.58
103589,2025-07-18,FY25-07,5000,Cost of Goods Sold - F&B,S005,MEMBERSHIP,-5493.54
100881,2025-02-20,FY25-02,6100,Property Rent,S001,,-5062.26
100920,2025-02-21,FY25-02,6110,Business Rates,S003,,-735.2
103207,2025-06-10,FY25-06,6200,Utilities - Electricity,S003,,-471.51
101477,2025-03-19,FY25-03,6110,Business Rates,S002,,-1345.82
102942,2025-06-24,FY25-06,4030,Membership Revenue,S004,FOOD_BEV,2268.82
102012,2025-04-12,FY25-04,6100,Property Rent,S004,,-5432.88
103054,2025-06-26,FY25-06,6000,Wages & Salaries,S002,,-19564.91
100281,2025-01-27,FY25-01,6010,Employer NI & Pension,S004,,-767.67
106513,2025-12-14,FY25-12,6010,Employer NI & Pension,S001,,-1398.08
104137,2025-08-17,FY25-08,5010,Cost of Goods Sold - Retail,S002,RETAIL,-2791.66
103844,2025-07-24,FY25-07,5099,IT & Software Licences,S001,,-1828.0
105560,2025-10-14,FY25-10,7000,Depreciation,S003,,-2244.57
105336,2025-10-07,FY25-10,6100,Property Rent,S001,,-3006.41
106306,2025-12-27,FY25-12,4030,Membership Revenue,S004,ENTERTAINMENT,2245.31
100566,2025-02-15,FY25-02,4010,Retail Merchandise Revenue,S002,EVENTS,5241.92
102279,2025-05-15,FY25-05,4010,Retail Merchandise Revenue,S003,ENTERTAINMENT,8560.71
104785,2025-09-20,FY25-09,6100,Property Rent,S005,,-2692.39
103912,2025-08-20,FY25-08,4000,Food & Beverage Revenue,S002,EVENTS,23053.02
100328,2025-01-10,FY25-01,6100,Property Rent,S005,,-2980.31
106179,2025-12-11,FY25-12,4000,Food & Beverage Revenue,S002,,21881.96
100461,2025-01-31,FY25-01,6600,Insurance,S001,,-2259.14
101454,2025-03-23,FY25-03,6100,Property Rent,S003,,-3299.03
103245,2025-06-15,FY25-06,6999,Marketing & Promotions,S003,,-1260.43
102735,2025-05-05,FY25-05,6700,Professional Fees,S003,,-846.81
100502,2025-01-02,FY25-01,7000,Depreciation,S003,,-980.52
103362,2025-07-16,FY25-07,4000,Food & Beverage Revenue,S003,MEMBERSHIP,24799.98
100875,2025-02-10,FY25-02,6010,Employer NI & Pension,S005,,-1829.08
103340,2025-06-07,FY25-06,7100,Bank Interest,S001,,-1065.46
104757,2025-09-18,FY25-09,6100,Property Rent,S002,,-9473.79
104738,2025-09-14,FY25-09,6010,Employer NI & Pension,S005,,-833.04
100425,2025-01-13,FY25-01,6210,Utilities - Gas/Water,S003,,-1075.86
100123,2025-01-06,FY25-01,4030,Membership Revenue,S004,EVENTS,5215.33
101090,2025-03-06,FY25-03,4000,Food & Beverage Revenue,S001,MEMBERSHIP,14314.66
101000,2025-02-18,FY25-02,6300,Marketing & Promotions,S002,,-1978.0
103255,2025-06-13,FY25-06,6300,Marketing & Promotions,S005,,-616.03
105879,2025-11-22,FY25-11,6010,Employer NI & Pension,S001,,-2274.77
106342,2025-12-30,FY25-12,4040,Events & Hire Revenue,S002,ENTERTAINMENT,2357.58
101160,2025-03-16,FY25-03,4010,Retail Merchandise Revenue,S005,ENTERTAINMENT,2801.69
100997,2025-02-24,FY25-02,6300,Marketing & Promotions,S001,,-1730.85
104644,2025-09-19,FY25-09,5010,Cost of Goods Sold - Retail,S004,FOOD_BEV,-1615.47
105462,2025-10-12,FY25-10,6200,Utilities - Electricity,S005,,-525.99
101026,2025-02-15,FY25-02,6500,IT & Software Licences,S004,,-793.91
102940,2025-06-26,FY25-06,4030,Membership Revenue  ,S004,FOOD_BEV,2268.82
103484,2025-07-04,FY25-07,4030,Membership Revenue,S002,RETAIL,2707.8
104210,2025-08-21,FY25-08,6010,EMPLOYER NI & PENSION,S002,,-886.63
106516,2025-12-31,FY25-12,6999,Employer NI & Pension,S002,,-1549.99
100193,2025-01-24,FY25-01,5010,Cost of Goods Sold - Retail,S002,ENTERTAINMENT,-1654.73
102324,2025-05-21,FY25-05,4020,Entertainment Revenue,S003,RETAIL,7692.17
101290,2025-03-11,FY25-03,5000,Cost of Goods Sold - F&B,S001,MEMBERSHIP,-4164.62
102135,2025-04-19,FY25-04,6300,Marketing & Promotions,S003,,-543.89
101149,2025-03-11,FY25-03,4010,Retail Merchandise Revenue,S004,EVENTS,9159.51
104636,2025-09-29,FY25-09,5010,Cost of Goods Sold - Retail,S003,MEMBERSHIP,-3313.75
101956,2025-04-27,FY25-04,6000,Wages & Salaries,S004,,-5085.41
100577,2025-02-14,FY25-02,4010,Retail Merchandise Revenue,S004,ENTERTAINMENT,3626.55
106128,2025-11-13,FY25-11,7000,Depreciation,S001,,-1172.35
103259,2025-06-19,FY25-06,6300,Marketing & Promotions  ,S005,,-616.03
101685,2025-04-09,FY25-04,4000,Food & Beverage Revenue,S004,RETAIL,9429.66
106019,2025-11-02,FY25-11,6200,Utilities - Electricity  ,S003,,-823.42
104174,2025-08-07,FY25-08,6000,Wages & Salaries,S003,,-8026.55
106408,2025-12-14,FY25-12,5000,Cost of Goods Sold - F&B,S003,EVENTS,-5456.62
100636,2025-02-25,FY25-02,4030,Membership Revenue,S002,MEMBERSHIP,6043.87
105918,2025-11-05,FY25-11,6100,Property Rent,S002,,-2729.24
105428,2025-10-28,FY25-10,5099,Business Rates,S005,,-825.07
104208,2025-08-02,FY25-08,6999,Employer NI & Pension,S002,,-886.63
101445,2025-03-27,FY25-03,6100,Property Rent,S001,,-3017.93
105374,2025-10-15,FY25-10,6100,PROPERTY RENT,S005,,-2489.24
104783,2025-09-11,FY25-09,6100,Property Rent,S005,,-2692.39
100007,2025-01-29,FY25-01,4000,Food & Beverage Revenue,S003,FOOD_BEV,8698.92
106523,2025-12-23,FY25-12,6010,Employer NI & Pension,S003,,-1052.78
103799,2025-07-07,FY25-07,6210,Utilities - Gas/Water,S005,,-690.6
100618,2025-02-16,FY25-02,4020,Entertainment Revenue  ,S004,FOOD_BEV,4041.16
105815,2025-11-13,FY25-11,5010,Cost of Goods Sold - Retail,S005,ENTERTAINMENT,-3199.56
106625,2025-12-21,FY25-12,6110,Business Rates,S005,,-685.05
100897,2025-02-27,FY25-02,6100,Property Rent,S004,,-5606.2
105085,2025-10-13,FY25-10,4030,Membership Revenue,S001,FOOD_BEV,4079.33
103031,2025-06-26,FY25-06,5010,Cost of Goods Sold - Retail,S003,EVENTS,-4885.18
106376,2025-12-16,FY25-12,4040,Events & Hire Revenue,S005,,3078.49
101804,2025-04-27,FY25-04,4040,Events & Hire Revenue,S002,ENTERTAINMENT,1526.84
101414,2025-03-19,FY25-03,6010,Employer NI & Pension,S002,,-1112.14
104134,2025-08-11,FY25-08,5010,Cost of Goods Sold - Retail,S002,ENTERTAINMENT,-2791.66
102221,2025-04-25,FY25-04,7000,DEPRECIATION,S005,,-1536.07
101455,2025-03-22,FY25-03,6100,Property Rent,S003,,-3299.03
100486,2025-01-11,FY25-01,7000,Depreciation,S001,,-956.23
104198,2025-08-15,FY25-08,6010,Employer NI & Pension,S001,,-1290.1
103388,2025-07-18,FY25-07,4010,Retail Merchandise Revenue,S001,MEMBERSHIP,4321.17
102041,2025-04-25,FY25-04,6110,Business Rates,S002,,-810.92
100277,2025-01-05,FY25-01,6010,Employer NI & Pension,S004,,-767.67
105649,2025-11-15,FY25-11,4020,Entertainment Revenue,S001,RETAIL,9538.95
105622,2025-11-05,FY25-11,4010,Retail Merchandise Revenue,S003,FOOD_BEV,4698.81
100033,2025-01-24,FY25-01,4000,Food & Beverage Revenue,S005,FOOD_BEV,12291.18
106433,2025-12-27,FY25-12,5000,Cost of Goods Sold - F&B,S005,ENTERTAINMENT,-5285.54
103886,2025-07-14,FY25-07,7000,Depreciation,S004,,-569.39
101945,2025-04-06,FY25-04,6000,Wages & Salaries,S004,,-5085.41
105888,2025-11-06,FY25-11,6010,EMPLOYER NI & PENSION,S002,,-1192.13
101805,2025-04-11,FY25-04,4040,Events & Hire Revenue,S002,ENTERTAINMENT,1526.84
100302,2025-01-11,FY25-01,6100,Property Rent,S001,,-4716.01
103136,2025-06-07,FY25-06,6100,Property Rent,S004,,-2287.8
100183,2025-01-05,FY25-01,5000,Cost of Goods Sold - F&B,S005,FOOD_BEV,-5016.92
103744,2025-07-02,FY25-07,6110,Business Rates,S001,,-2611.26
105973,2025-11-20,FY25-11,6110,Business Rates,S003,,-1409.87
102801,2025-06-23,FY25-06,4000,Food & Beverage Revenue,S002,FOOD_BEV,24816.23
103795,2025-07-17,FY25-07,6210,Utilities - Gas/Water,S003,,-526.35
104653,2025-09-09,FY25-09,5010,Cost of Goods Sold - Retail,S004,,-1615.47
104801,2025-09-13,FY25-09,6110,Business Rates,S003,,-1318.52
102659,2025-05-27,FY25-05,6210,Utilities - Gas/Water,S003,,-976.95
105629,2025-11-27,FY25-11,4010,Retail Merchandise Revenue,S004,RETAIL,12894.61
101677,2025-04-12,FY25-04,4000,Food & Beverage Revenue,S003,RETAIL,16930.96
101470,2025-03-09,FY25-03,6100,Property Rent,S005,,-8739.94
104353,2025-08-31,FY25-08,6300,Marketing & Promotions,S002,,-485.81
100708,2025-02-25,FY25-02,4040,Events & Hire Revenue,S005,EVENTS,1059.63
102858,2025-06-18,FY25-06,4010,Retail Merchandise Revenue,S004,FOOD_BEV,4861.56
101190,2025-03-05,FY25-03,4020,Entertainment Revenue,S005,FOOD_BEV,6126.59
101971,2025-04-23,FY25-04,6010,Employer NI & Pension,S002,,-1327.31
103752,2025-07-21,FY25-07,6110,Business Rates,S002,,-815.55
105020,2025-10-06,FY25-10,4010,Retail Merchandise Revenue,S002,EVENTS,5009.9
104575,2025-09-01,FY25-09,4040,Events & Hire Revenue,S002,MEMBERSHIP,4452.31
106779,2025-12-21,FY25-12,7000,Depreciation,S002,,-686.18
101586,2025-03-18,FY25-03,6600,Insurance,S004,,-698.56
104334,2025-08-25,FY25-08,6210,Utilities - Gas/Water,S004,,-637.03
101718,2025-04-14,FY25-04,4010,Retail Merchandise Revenue,S004,EVENTS,4800.95
100228,2025-01-11,FY25-01,6000,Wages & Salaries,S001,,-10384.05
103119,2025-06-22,FY25-06,6100,Property Rent,S002,,-3050.49
103731,2025-07-23,FY25-07,6100,Property Rent,S005,,-2236.34
105704,2025-11-14,FY25-11,4030,Membership Revenue,S005,ENTERTAINMENT,2308.07
101809,2025-04-05,FY25-04,4040,Events & Hire Revenue,S002,FOOD_BEV,1526.84
105993,2025-11-26,FY25-11,6200,Utilities - Electricity,S001,,-1170.24
100476,2025-01-24,FY25-01,6700,Professional Fees,S005,,-708.05
103416,2025-07-25,FY25-07,4010,Retail Merchandise Revenue,S005,FOOD_BEV,4492.8
106671,2025-12-21,FY25-12,6200,Utilities - Electricity,S005,,-1164.92
102308,2025-05-02,FY25-05,4020,Entertainment Revenue,S002,RETAIL,13292.34
105402,2025-10-28,FY25-10,6110,Business Rates,S002,,-679.06
105597,2025-11-01,FY25-11,4000,Food & Beverage Revenue,S004,ENTERTAINMENT,19468.76
103483,2025-07-15,FY25-07,4030,Membership Revenue,S002,EVENTS,2707.8
104202,2025-08-30,FY25-08,6010,Employer NI & Pension,S001,,-1290.1
101172,2025-03-22,FY25-03,4020,Entertainment Revenue,S002,MEMBERSHIP,10092.21
104604,2025-09-28,FY25-09,5000, Cost of Goods Sold - F&B,S004,ENTERTAINMENT,-3195.43
102839,2025-06-19,FY25-06,4010,Retail Merchandise Revenue,S002,FOOD_BEV,3967.02
106229,2025-12-01,FY25-12,4010,Retail Merchandise Revenue,S004,MEMBERSHIP,4792.11
100808,2025-02-11,FY25-02,6000,Wages & Salaries,S001,,-19738.64
103934,2025-08-18,FY25-08,4000,Food & Beverage Revenue  ,S005,EVENTS,11333.56
102350,2025-05-04,FY25-05,4030,Membership Revenue,S002,EVENTS,7004.89
104642,2025-09-25,FY25-09,5010,Cost of Goods Sold - Retail,S003,EVENTS,-3313.75
103737,2025-07-02,FY25-07,6100,Property Rent,S005,,-2236.34
104415,2025-08-23,FY25-08,7000,Depreciation,S002,,-771.84
105345,2025-10-07,FY25-10,6100, Property Rent,S002,,-2304.5
104177,2025-08-26,FY25-08,6000,WAGES & SALARIES,S003,,-8026.55
106557,2025-12-21,FY25-12,6100,Property Rent,S001,,-6145.22
105949,2025-11-15,FY25-11,9000,Property Rent,S005,,-6511.75
100811,2025-02-20,FY25-02,6000,WAGES & SALARIES,S002,,-11738.56
100334,2025-01-08,FY25-01,6110,Business Rates,S001,,-1010.45
101863,2025-04-25,FY25-04,5000,Cost of Goods Sold - F&B,S003,MEMBERSHIP,-6798.97
101867,2025-04-14,FY25-04,5000,Cost of Goods Sold - F&B  ,S004,RETAIL,-3661.27
103542,2025-07-03,FY25-07,4040,Events & Hire Revenue,S003,FOOD_BEV,1880.27
103926,2025-08-27,FY25-08,4000,Food & Beverage Revenue,S005,FOOD_BEV,11333.56
102883,2025-06-13,FY25-06,4020,Entertainment Revenue,S003,EVENTS,6624.45
103645,2025-07-14,FY25-07,6000,Wages & Salaries,S002,,-9767.22
101328,2025-03-03,FY25-03,5010,Cost of Goods Sold - Retail,S002,FOOD_BEV,-2209.77
105561,2025-10-12,FY25-10,7000,Depreciation,S004,,-1116.37
102876,2025-06-11,FY25-06,4020,Entertainment Revenue,S001,RETAIL,9926.22
103084,2025-06-08,FY25-06,6010,Employer NI & Pension,S002,,-1505.45
106495,2025-12-12,FY25-12,6000,Wages & Salaries,S004,,-5411.5
100559,2025-02-12,FY25-02,4000,Food & Beverage Revenue,S005,EVENTS,8554.39
101198,2025-03-17,FY25-03,4030,Membership Revenue,S001,EVENTS,3137.76
103026,2025-06-10,FY25-06,5010,Cost of Goods Sold - Retail,S002,RETAIL,-4585.66
104489,2025-09-09,FY25-09,4010,Retail Merchandise Revenue,S004,MEMBERSHIP,4364.92
105530,2025-10-14,FY25-10,6600,Insurance,S001,,-2416.09
102461,2025-05-21,FY25-05,5010,Cost of Goods Sold - Retail,S001,RETAIL,-6250.13
102590,2025-05-25,FY25-05,6100,Property Rent,S004,,-2854.13
105632,2025-11-23,FY25-11,4010,Retail Merchandise Revenue,S005,RETAIL,3879.74
106370,2025-12-25,FY25-12,4040,Events & Hire Revenue,S005,ENTERTAINMENT,3078.49
101846,2025-04-16,FY25-04,5000,Cost of Goods Sold - F&B,S001,MEMBERSHIP,-6261.03
105541,2025-10-02,FY25-10,6700,Professional Fees,S001,,-663.68
101999,2025-04-30,FY25-04,6100,Property Rent,S002,,-5825.78
100178,2025-01-08,FY25-01,5000,Cost of Goods Sold - F&B,S003,EVENTS,-9058.95
106007,2025-11-17,FY25-11,6200,Utilities - Electricity,S002,,-801.89
100826,2025-02-22,FY25-02,6000,Wages & Salaries,S004,,-12877.41
100803,2025-02-02,FY25-02,5010,Cost of Goods Sold - Retail,S005,RETAIL,-1435.74
103142,2025-06-10,FY25-06,6100,Property Rent,S005,,-2296.86
105015,2025-10-28,FY25-10,4010,Retail Merchandise Revenue,S001,FOOD_BEV,10361.38
101458,2025-03-24,FY25-03,6100,Property Rent,S003,,-3299.03
101796,2025-04-02,FY25-04,4040,Events & Hire Revenue,S001,RETAIL,2784.36
106210,2025-12-23,FY25-12,4010,Retail Merchandise Revenue,S001,MEMBERSHIP,9190.25
104179,2025-08-26,FY25-08,6000,Wages & Salaries,S003,,-8026.55
103927,2025-08-19,FY25-08,4000,Food & Beverage Revenue,S005,MEMBERSHIP,11333.56
105041,2025-10-04,FY25-10,4010,Retail Merchandise Revenue,S005,FOOD_BEV,4080.11
102525,2025-05-21,FY25-05,6000,Wages & Salaries  ,S005,,-10319.28
104724,2025-09-27,FY25-09,6010,Employer NI & Pension,S004,,-750.9
103634,2025-07-27,FY25-07,5010,Cost of Goods Sold - Retail  ,S005,ENTERTAINMENT,-2457.41
102910,2025-06-29,FY25-06,4020,Entertainment Revenue,S005,ENTERTAINMENT,5672.18
105393,2025-10-26,FY25-10,6110, Business Rates,S002,,-679.06
101563,2025-03-30,FY25-03,6400,Repairs & Maintenance,S004,,-973.69
106673,2025-12-28,FY25-12,6200,Utilities - Electricity,S005,,-1164.92
100020,2025-01-01,FY25-01,4000,Food & Beverage Revenue,S004,EVENTS,6958.59
101680,2025-04-25,FY25-04,4000,Food & Beverage Revenue,S004,EVENTS,9429.66
100402,2025-01-16,FY25-01,6200,Utilities - Electricity,S004,,-1258.74
102791,2025-06-12,FY25-06,4000,Food & Beverage Revenue,S001,FOOD_BEV,19150.07
103222,2025-06-27,FY25-06,6210,Utilities - Gas/Water,S003,,-569.9
105518,2025-10-14,FY25-10,6400,Repairs & Maintenance,S005,,-3256.64
102307,2025-05-14,FY25-05,4020,Entertainment Revenue,S002,FOOD_BEV,13292.34
101377,2025-03-20,FY25-03,6000,Wages & Salaries,S003,,-21710.62
101180,2025-03-25,FY25-03,4020,Entertainment Revenue,S003,RETAIL,11615.41
100368,2025-01-05,FY25-01,6110,Business Rates,S004,,-864.85
104715,2025-09-29,FY25-09,6010,Employer NI & Pension,S003,,-1405.44
103818,2025-07-25,FY25-07,5099,Marketing & Promotions,S004,,-442.38
105751,2025-11-05,FY25-11,5000,Cost of Goods Sold - F&B,S003,MEMBERSHIP,-4795.6
104588,2025-09-06,FY25-09,4040,Events & Hire Revenue,S005,EVENTS,5723.49
101139,2025-03-21,FY25-03,4010,Retail Merchandise Revenue,S003,MEMBERSHIP,3854.67
100141,2025-01-14,FY25-01,4040,Events & Hire Revenue,S002,EVENTS,1204.32
104184,2025-08-21,FY25-08,6000,Wages & Salaries,S004,,-12665.88
100233,2025-01-17,FY25-01,6000,Wages & Salaries,S002,,-8816.6
100447,2025-01-28,FY25-01,6400,Repairs & Maintenance,S003,,-1235.77
106661,2025-12-07,FY25-12,6200,Utilities - Electricity,S004,,-941.01
105587,2025-11-19,FY25-11,4000,Food & Beverage Revenue,S003,FOOD_BEV,12739.55
106198,2025-12-11,FY25-12,4000,Food & Beverage Revenue,S005,RETAIL,35513.76
102864,2025-06-08,FY25-06,4010,Retail Merchandise Revenue,S004,FOOD_BEV,4861.56
